UlasanNormal,UlasanStop,UlasanStem
"['sesuai', 'gambar', 'bagus']","['sesuai', 'gambar', 'bagus']",sesuai gambar bagus
"['barang', 'sesuai', 'pesanan', 'dan', 'bermanfaat']","['barang', 'sesuai', 'pesanan', 'bermanfaat']",barang sesuai pesan dan manfaat
"['toko', 'amanah', 'hp', 'sesuai', 'deskripsi']","['toko', 'amanah', 'hp', 'sesuai', 'deskripsi']",toko amanah hp sesuai deskripsi
"['alhamdulillah', 'tablet', 'pengganti', 'sudah', 'datang', 'di', 'cek', 'bagus', 'semua', 'terima', 'kasih', 'atas', 'respon', 'cepat', 'dan', 'layanan', 'garansinya']","['alhamdulillah', 'tablet', 'pengganti', 'cek', 'bagus', 'terima', 'kasih', 'respon', 'cepat', 'layanan', 'garansinya']",alhamdulillah tablet ganti sudah datang di cek bagus semua terima kasih atas respon cepat dan layan garansi
"['pengiriman', 'cepat', 'untuk', 'barang', 'berfungsi', 'dengan', 'baik', 'cuma', 'warna', 'tidak', 'sesuai', 'pilihan', 'request', 'putih', 'dikiirm', 'biru', 'dan', 'ada', 'baret', 'sedikit', 'di', 'layar', 'tetapi', 'secara', 'overall']","['pengiriman', 'cepat', 'barang', 'berfungsi', 'warna', 'sesuai', 'pilihan', 'request', 'putih', 'dikiirm', 'biru', 'baret', 'layar', 'overall']",kirim cepat untuk barang fungsi dengan baik cuma warna tidak sesuai pilih request putih dikiirm biru dan ada baret sedikit di layar tetapi cara overall
"['kali', 'coba', 'beli', 'hp', 'dan', 'tablet', 'online', 'ngk', 'pernah', 'beruntung', 'batere', 'ngedrop', 'lahlayar', 'eror', 'lah', 'sudah', 'mulai', 'tobat', 'beli', 'online', 'murahnya', 'ternyata', 'murahan', 'saran', 'saya', 'buat', 'reka']","['kali', 'coba', 'beli', 'hp', 'tablet', 'online', 'ngk', 'beruntung', 'batere', 'ngedrop', 'lahlayar', 'eror', 'tobat', 'beli', 'online', 'murahnya', 'murahan', 'saran', 'reka']",kali coba beli hp dan tablet online ngk pernah untung batere ngedrop lahlayar eror lah sudah mulai tobat beli online murah nyata murah saran saya buat reka
"['cek', 'out', 'rabu', 'minggu', 'pagi', 'dah', 'sampai', 'sudah', 'dipakai', 'barangnya', 'bagus']","['cek', 'out', 'rabu', 'minggu', 'pagi', 'dah', 'dipakai', 'barangnya', 'bagus']",cek out rabu minggu pagi dah sampai sudah pakai barang bagus
"['tidak', 'bisa', 'buat', 'akun', 'kecewa']","['akun', 'kecewa']",tidak bisa buat akun kecewa
"['hanya', 'tools', 'menu', 'yang', 'diatas', 'kaya', 'wifiklo', 'pas', 'teken', 'tidak', 'menuju', 'pengaturan', 'selebihnya', 'oke', 'sii']","['tools', 'menu', 'diatas', 'kaya', 'wifiklo', 'pas', 'teken', 'pengaturan', 'selebihnya', 'oke', 'sii']",hanya tools menu yang atas kaya wifiklo pas teken tidak tuju atur lebih oke sii
"['barang', 'ok', 'â\x80¦mantabz']","['barang', 'ok', 'â\x80¦mantabz']",barang ok mantabz
"['respon', 'penjual', 'baikkualitas', 'tab', 'standar']","['respon', 'penjual', 'baikkualitas', 'tab', 'standar']",respon jual baikkualitas tab standar
['aspal'],['aspal'],aspal
['lumayan'],['lumayan'],lumayan
"['barang', 'sesuai', 'pesanan', 'terimakasuh']","['barang', 'sesuai', 'pesanan', 'terimakasuh']",barang sesuai pesan terimakasuh
"['jelas', 'barang', 'china', 'zonk', 'tetapi', 'harga', 'macam', 'barang', 'ori']","['barang', 'china', 'zonk', 'harga', 'barang', 'ori']",jelas barang china zonk tetapi harga macam barang ori
"['pengiriman', 'cepat', 'dan', 'barang', 'diterima', 'dengan', 'aman', 'ð\x9f\x91\x8d']","['pengiriman', 'cepat', 'barang', 'diterima', 'aman', 'ð\x9f\x91\x8d']",kirim cepat dan barang terima dengan aman 
"['terima kasih', 'seller', 'barang', 'sudah', 'diterima', 'dengan', 'baik', 'tidak', 'lecet', 'sedikitpun', 'dan', 'masih', 'segel', 'aman', 'terima kasih', 'juga', '&', 'sudah', 'mengantarkan', 'paket', 'saya', 'dengan', 'aman', 'than']","['terima kasih', 'seller', 'barang', 'diterima', 'lecet', 'sedikitpun', 'segel', 'aman', 'terima kasih', '&', 'mengantarkan', 'paket', 'aman', 'than']",terima kasih seller barang sudah terima dengan baik tidak lecet sedikit dan masih segel aman terima kasih juga  sudah antar paket saya dengan aman than
"['alhamdulillah', 'tabletnya', 'sudah', 'datang', 'langsung', 'dipakai', 'sama', 'anak', 'buat', 'belajar', 'mulus', 'tanpa', 'kekurangan', 'sedikit', 'pun', 'da', 'berfungsi', 'dengan', 'baik', 'juga', 'tabletnya', 'trimaksh', 'selle']","['alhamdulillah', 'tabletnya', 'langsung', 'dipakai', 'anak', 'belajar', 'mulus', 'kekurangan', 'da', 'berfungsi', 'tabletnya', 'trimaksh', 'selle']",alhamdulillah tablet sudah datang langsung pakai sama anak buat ajar mulus tanpa kurang sedikit pun da fungsi dengan baik juga tablet trimaksh selle
"['produk', 'diterima', 'dalam', 'keadaan', 'bagus', 'karena', 'di', 'packing', 'dgn', 'baik', 'tidak', 'ada', 'kerusakan', 'sama', 'sekali', 'pengiriman', 'jg', 'cepat', 'bahkan', 'lebih', 'cepat', 'dari   ', 'estimasi', 'nya', 'ð\x9f\x91\x8d', 'terima kasih', 'ð\x9f\x91\x8d']","['produk', 'diterima', 'bagus', 'packing', 'dgn', 'kerusakan', 'pengiriman', 'jg', 'cepat', 'cepat', 'dari   ', 'estimasi', 'nya', 'ð\x9f\x91\x8d', 'terima kasih', 'ð\x9f\x91\x8d']",produk terima dalam ada bagus karena di packing dgn baik tidak ada rusa sama sekali kirim jg cepat bahkan lebih cepat dari estimasi nya  terima kasih 
"['terima', 'kasih', 'barang', 'sudah', 'di', 'terima', 'dalam', 'keadaan', 'baik', 'harga', 'produk', 'sangat', 'baik', 'kualitas', 'produk', 'sangat', 'baik', 'produk', 'original', 'kecepatan', 'pengiriman', 'sangat', 'baik', 'respon', 'penjua']","['terima', 'kasih', 'barang', 'terima', 'harga', 'produk', 'kualitas', 'produk', 'produk', 'original', 'kecepatan', 'pengiriman', 'respon', 'penjua']",terima kasih barang sudah di terima dalam ada baik harga produk sangat baik kualitas produk sangat baik produk original cepat kirim sangat baik respon jua
"['pengiriman', 'cepat', 'packing', 'aman', 'seller', 'amanah', 'terima kasih']","['pengiriman', 'cepat', 'packing', 'aman', 'seller', 'amanah', 'terima kasih']",kirim cepat packing aman seller amanah terima kasih
"['seller', 'ramah', 'dan', 'amanah', 'pengiriman', 'dan', 'pengemasan', 'cepat', 'packing', 'aman', 'full', 'senyum', 'terima kasih', 'gan']","['seller', 'ramah', 'amanah', 'pengiriman', 'pengemasan', 'cepat', 'packing', 'aman', 'full', 'senyum', 'terima kasih', 'gan']",seller ramah dan amanah kirim dan emas cepat packing aman full senyum terima kasih gan
"['alhamdulillah', 'pesanan', 'saya', 'sudah', 'sampai', 'dengan', 'aman', 'dan', 'selamat', 'packingan', 'rapi', 'dan', 'tebel', 'banget', 'pokonya', 'puas', 'banget', 'belanja', 'ditoko', 'ini', 'terima kasih']","['alhamdulillah', 'pesanan', 'aman', 'selamat', 'packingan', 'rapi', 'tebel', 'banget', 'pokonya', 'puas', 'banget', 'belanja', 'ditoko', 'terima kasih']",alhamdulillah pesan saya sudah sampai dengan aman dan selamat packingan rapi dan tebel banget poko puas banget belanja toko ini terima kasih
"['alhamdulillah', 'barang', 'yang', 'ditunggu', 'datang', 'ke', 'rumah', 'saya', 'suka', 'sama', 'barangnya', 'terima kasih', 'seller']","['alhamdulillah', 'barang', 'ditunggu', 'rumah', 'suka', 'barangnya', 'terima kasih', 'seller']",alhamdulillah barang yang tunggu datang ke rumah saya suka sama barang terima kasih seller
"['terima kasih', 'seller', 'kualitas', 'bgs', 'dan', 'ok', 'banget', 'mksih', 'gan', 'top', 'deh']","['terima kasih', 'seller', 'kualitas', 'bgs', 'ok', 'banget', 'mksih', 'gan', 'top', 'deh']",terima kasih seller kualitas bgs dan ok banget mksih gan top deh
['mantap'],['mantap'],mantap
"['ada', 'harga', 'ada', 'barangmasih', 'okelahsilahkan', 'lihat', 'foto', 'dan', 'videonya', 'dan', 'simpulkan', 'sendiri']","['harga', 'barangmasih', 'okelahsilahkan', 'lihat', 'foto', 'videonya', 'simpulkan']",ada harga ada barangmasih okelahsilahkan lihat foto dan video dan simpul sendiri
